Names,Best For,Joining Fee,Renewal Fee,Welcome Bonus,Reward Rates,travel,Domestic Lounge Access,Insurance Benefits,Movie & Dining,Reward redemption,Golf,International lounge access,Zero Liability Protection,Spend based waiver,Reward redemption fee,Foreign currency markup,Interest Rates,Fuel Surcharge,Cash advance charge,Add on card fee,Eligibility,Limit
Kotak White Reserve Credit Card,Shopping,"Rs. 12,500 (plus applicable taxes)","Rs. 12,500 (plus applicable taxes)",NA,White Pass Value will be earned for Reward Points on crossing a minimum spend of Rs. 3 Lakhs,Complimentary access to lounges at 1000+ airports around the world,Complimentary lounge access at domestic airports,NA,Get up to 20% off on dining bills at participating Marriot hotels across the Asia Pacific Region,"The White Pass Value can be redeemed against various vouchers, flights, and hotels, etc available at www.kotakbankwhite.com. The White Pass Value can also be redeemed for cash.",2 Golf Rounds each month at selected golf courses around the world,Complimentary lounges access at international airports,Zero Liability Protection is provided against lost/stolen credit cards upon reporting to the customer care of the bank.,"The renewal fee can be waived off on spending Rs. 10,00,000 or more in the previous year.",NA,2% on all international transactions,3.5% per month (or 42% annually),1% at all fuel stations in India,"Rs. 300 for every Rs. 10,000 withdrawn or part thereof",NA,NA,NA
Kotak 811 Credit Card,Shopping,Rs. 500 (plus applicable taxes),Rs. 500 (plus applicable taxes),"500 Bonus Reward Points on expenditure of Rs. 5,000 within 45 days of card issuance.",1 Reward Point per Rs. 100 on offline spends and 2 Reward Points per Rs. 100 on online spends.,NA,NA,"Lost card cover worth Rs. 50,000 applicable 7 days prior to reporting the loss of card","Option to get 4 PVR tickets on spending Rs. 75,000 in a year.","Reward Points redeemable for mobile recharges, shopping vouchers, gift cards, movie and travel vouchers at Kotak Rewards portal.",NA,NA,Cardholder shall not be liable for any fraudulent transaction made on the card post reporting the loss of the card to the bank.,"Annual fee waived off on spending a minimum of Rs. 50,000 in the preceding year.",NA,3.5% of the transaction amount,3.5% per month (or 42% annually),"1% fuel surcharge waived off on transactions between Rs. 500 and Rs. 3,000 (max waiver capped at Rs. 3,500 per annum).","Rs. 300 per Rs. 10,000 withdrawn",Rs. 200 (plus applicable taxes),NA,NA
Kotak Royale Signature Credit Card,"Travel , Shopping",NA,NA,NA,"2 Reward Points per Rs. 150 you spend. 4 Reward Points per Rs. 150 you spend on select categories like restaurants, international spends, Airlines, hotels, etc.",You get complimentary airport lounge access every year.,2 complimentary access to domestic lounges per quarter,Coverage of Rs. 2.5 lakhs against fraudulent transactions on a lost/stolen card.,NA,The Reward points are redeemable on https://kotakrewards.com/ against various categories. 1 RP = 18.75 paise.,NA,NA,The cardholder will not be held as liable for any fraudulent transactions done if the card is reported lost or stolen to the bank.,"The renewal fee can be waived if you Rs. 1,00,000 or more in the preceeding year.",NA,3.5% on all foreign currency spends,3.4% per month,1% fuel surcharge is waived at all fuel stations.,"Rs. 300 per Rs. 10,000 withdrawn",NA,NA,NA
Kotak Zen Signature Credit Card,"Travel , Shopping",Rs 1500 plus applicable taxes,Rs 1500 plus applicable taxes,Get 1500 Zen Points on payment of joining fees,You can earn up to 15 Zen Points on every Rs 150 spent on KayMall. You can earn up to 5 Zen Points on every Rs 150 on all other categories,Complimentary Lounge Access Worldwide,8 Complimentary Domestic Lounge Access every year. You can avail yourself up to 2 lounge access every quarter calendar at select airport lounges with Visa Airport Lounge Access Program,NA,NA,"1 Zen Point = Rs 0.25  redemption with the Kotak Reward program, you can redeem these reward points for exclusive vouchers and special discounts on partner deals and offers. You also can redeem these reward points and convert them into cash to pay for your shopping spends at partner merchant outlets",NA,3 Complimentary International Lounges with Priority Pass Membership.,NA,"You can get an annual fee waiver of Rs 1500 on the spending of Rs 1,50,000",NA,3.5% on the conversion amount,3.4% per month (40.80 per annum),1% fuel surcharge waiver on transactions between Rs 500 and Rs 3000,Rs 300 on the withdrawal amount,Rs 299/-,NA,NA
Kotak Privy League Signature Credit Card,Shopping,"Rs. 2,500 + GST (for paid variant), NA (for free variant)","Rs. 2,500 + GST (for paid variant), NA (for free variant)",NA,"5x Reward Points on select retail shopping and travel spends, 2x Reward Points on all other spends and traveler’s plan.","Complimentary domestic lounge access, Priority Pass membership, 4 complimentary lounge visits / year visits with Priority Pass (paid variant only)","Under the Domestic Visa Lounge Program, you will get complimentary access to domestic lounges.",NA,NA,Reward Points redeemable on Kotak reward redemption portal.,NA,"Complimentary Priority Pass membership (with both variants), 4 complimentary lounge visits every year visits with Priority Pass (paid variant only)",Zero liability against fraudulent transactions if loss or theft is reported to the bank within the specified time frame.,The annual membership fee will be waived off if the cardholder spends Rs. 5 lakh in the preceding year or by maintaining Insignia or True Optima Banking Relationship,NA,2% for paid variant and 3.5% for the free variant (exclusive of GST),2.49% per month (29.88% annually),Waived,"Rs. 300 per Rs. 10,000 withdrawn or part thereof",NA,NA,NA
Kotak Mojo Platinum Credit Card,"Travel , Shopping","Rs. 1,000","Rs. 1,000",NA,1 Mojo Point on every Rs. 100 spent. 2.5 Mojo Points on every online spend of Rs. 100. 5 Mojo Points on every Rs. 100 on KayMall.,Get complimentary airport lounge access every year,2 complimentary domestic lounge access every quarter.,Insurance cover worth Rs. 1.25 lakhs against unauthorized transactions on a lost/stolen card,NA,The Mojo Points you earn can be redeemed against various categories at kotakrewards.com at a rate of 1 Mojo Point = Rs. 0.25.,NA,NA,Zero liability protection against a lost/stolen card is provided if the loss is reported to the bank in a timely manner.,"The joining fee is waived off on spending Rs. 30,000 or more within the first 90 days and the renewal fee is waived off on spending Rs. 1 lakh or more in the previous year.",NA,3.5% on all the foreign currency transactions,3.5% per month,"You get a 1% fuel surcharge waiver across all fuel stations for all fuel transactions between Rs. 500 & Rs. 3,000","Rs. 300 for every withdrawal of Rs. 10,000",Rs. 299,"Proof of Identity: PAN Card, Aadhar Card, Driving License, Passport, Voter’s Id, etc.
Proof of Address: Aadhar Card, Ration Card, Latest water/electricity bills, rent agreement, etc.
Proof of Income: Latest months’ salary slips/bank statements or latest audited ITR.",NA
Kotak League Platinum Credit Card,Movies,Rs. 500 plus applicable taxes,Rs. 500 plus applicable taxes,Get a movie voucher worth Rs 500 on payment of the joining fee,You get 8x reward points for every 150 spent on special categories and  4x reward points on every 150 spent on other categories up to 2 lacs. You 8x reward points on every Rs 150 spent on special categories and other categories above Rs 2 lacs.,NA,NA,NA,Get a movie voucher from BookMyShow.com worth Rs 500,You can redeem the reward point accumulated at the Kotak rewards portal. You can use the Pay with Points facility provided by the bank at the partner merchant store.,NA,NA,"Get a protection liability up to Rs 1,25,000 in case of theft or loss of card up to 7 days","Get spend based waiver on the annual fee of Rs 500 on annual spending of Rs 50,000.",NA,3.5% on the conversion amount,3.50% per month (42% per annum),1% fuel surcharge waiver on your fuel transactions between Rs 500 and Rs 3000,Rs 300 on the withdrawal amount,NA,NA,NA
PVR Kotak Platinum Credit Card,Movies,NA,NA,NA,NA,NA,NA,Insurance cover in case the card is lost/stolen.,Get a cashback of 15% on food & beverages and a 5% cashback on movie tickets at PVR.,The free PVR movie tickets you get can be redeemed either by sending an SMS to the bank’s customer care or by the net banking option available on the bank’s website.,NA,NA,Zero liability after reporting the loss of card to the bank’s customer care.,NA,NA,3.5% on all foreign currency spends,3.5% per month,1% fuel surcharge is applicable at all fuel stations,"Rs. 300 per withdrawal of Rs. 10,000",Rs. 299 for every add on card,NA,NA
Kotak Essentia Platinum Credit Card,Shopping,"Rs. 1,499 + GST","Rs. 1,499 + GST",NA,10 Saving Points/Rs. 100 on purchases made at grocery and departmental stores and 1 Saving Point/Rs. 250 on all other spends,NA,NA,Insurance cover worth Rs. 1.25 lakh against unauthorized transactions up to 7 days prior to reporting the loss of card.,"6 movie tickets by PVR on the expenditure of Rs. 1,25,000 in 6 months.","Saving Points redeemable on Kotak Rewards portal for travel-related spends, shopping, mobile recharge,  shopping vouchers and movie tickets. The Saving Points can also be used as cash (1 Point = Re. 1) at partner merchants.",NA,NA,"Cardholder not liable for any fraudulent transaction of up to Rs. 1,25,000 up to 7 days prior to reporting the loss of card.",NA,NA,3.5% + GST,3.50% per month or 42% annually,"Applicable, subject to a minimum surcharge of Rs. 10","Rs. 300 per Rs. 10,000 (or part thereof) withdrawn.",Rs. 299/card,NA,NA
PVR Kotak Gold Credit Card,Movies,NA,NA,NA,NA,NA,NA,NA,"Get 2 free PVR movie tickets worth up to Rs. 400 each on spending Rs. 15,000 or more in a month.",The movie tickets can be redeemed by logging in to kotak.com or by sending an SMS,NA,NA,"Zero Liability protection & card insurance worth Rs 50,000 is provided in the case of the lost or stolen card if reported in a timely manner.",NA,NA,3.5% on all foreign currency spends,3.5% per month,1% fuel surcharge fee will be applicable.,Rs. 300,Rs. 299 per add-on card,NA,NA
Kotak 811 #DreamDifferent Credit Card,Shopping,Rs. 500 (plus applicable taxes),Rs. 500 (plus applicable taxes),"500 Bonus Reward Points on expenditure of Rs. 5,000 within 45 days of card issuance.",1 Reward Point per Rs. 100 on offline spends and 2 Reward Points per Rs. 100 on online spends.,NA,NA,"Lost card cover worth Rs. 50,000 applicable 7 days prior to reporting the loss of card","Option to get 4 PVR tickets on spending Rs. 75,000 in a year.","Reward Points redeemable for mobile recharges, shopping vouchers, gift cards, movie and travel vouchers at Kotak Rewards portal.",NA,NA,Cardholder shall not be liable for any fraudulent transaction made on the card post reporting the loss of the card to the bank.,"Annual fee waived off on spending a minimum of Rs. 50,000 in the preceding year.",NA,3.5% of the transaction amount,3.5% per month (or 42% annually),"1% fuel surcharge waived off on transactions between Rs. 500 and Rs. 3,000 (max waiver capped at Rs. 3,500 per annum).","Rs. 300 per Rs. 10,000 withdrawn",Rs. 200 (plus applicable taxes),NA,NA
Kotak White Credit Card,Shopping,"Rs. 3,000 + GST","Rs. 3,000 + GST","Voucher worth Rs. 1,500 on spending Rs. 30,000 withing 60 days of card setup",Earn Reward Points as White Pass value post crossing the expenditure milestone of Rs. 2 lakh,"8 complimentary domestic lounge access annually (2/quarter), 4 complimentary international lounge access every year with Priority Pass",8 complimentary domestic lounge access every year (2/quarter),Cover against unauthorized use of card worth Rs. 2.5 lakh,NA,White Pass value redeemable for vouchers from partner brands,NA,4 complimentary international lounge access annually with Priority Pass,Cover worth Rs. 2.5 lakh from 7 days prior to reporting the loss of card,Annual fee waived on expenditure of Rs. 5 lakh in the preceeding year,NA,3.5% + GST,3.1% per month (37.2% annually),"Waived for transactions between Rs. 500 and Rs. 3,000 (max waiver of Rs. 3,500/year)","Rs. 300 per Rs. 10,000 (or part thereof) withdrawn.",NA,NA,NA
Kotak Urbane Gold Credit Card,Shopping,NA,NA,NA,3x Reward Points per Rs. 100 you spend on all retail transactions,NA,NA,Insurance cover for a lost or stolen card,NA,"Redeem the earned points for various categories like Movie Tickets, Mobile Recharge, etc. Rewards Points can used to pay your shopping bills through PayByPoints Program",NA,NA,Zero Liability Protection for a lost or stolen credit card upon reporting to the bank’s customer care.,"Get the annual fee waived on spending Rs. 15,000 in the previous year.",NA,3.5% on all foreign transactions,3.5% per month (or 42% annually),NA,"Rs. 300 per Rs. 10,000 withdrawn",NA,NA,NA
Kotak Veer Select Credit Card,Shopping,NA,NA,"Complimentary IHO membership worth Rs. 8,500 on spending Rs. 500 within the first 30 days of card issuance.","3 Reward Points on every spend of Rs. 200, and 3x Reward Points on movies, dining, and departmental stores.",Complimentary access to domestic airport lounges,2 complimentary domestic airport lounge access every quarter,Insurance cover worth Rs. 2.5 lakhs against unauthorized transactions on a lost/stolen card,NA,"Redeem points against a host of categories such as Movies, Mobile Recharges, and e-vouchers. 1 Kotak Reward Point = Re. 0.25.",NA,NA,Zero liability protection against a lost/stolen card is provided to the cardholder if the loss is reported to the bank immediately.,"On spending Rs. 1,00,000 on retail purchases, the annual fee for the next year is waived.",NA,3.5%,3.5% per month (42% annually),1% fuel surcharge waiver across all petrol pumps (capped at Rs. 3500 annually),"Rs. 300 per withdrawal of Rs. 10,000.",NA,NA,NA
Kotak Veer Platinum Credit Card,Shopping,NA,NA,500 Reward Points if you spend Rs. 500 in the first 30 days of card set-up,"6 Reward Points per Rs. 200 spent on grocery, dining, etc and 2 Reward Points for other spends",NA,NA,Insurance cover for a lost or stolen card,NA,"The reward points are redeemable for various categories like Movie Tickets, Mobile Recharge, etc. 1 Reward Point = Re.0.25.",NA,NA,Zero Liability Protection to the cardholder against any transactions done on a lost or stolen card post reporting to the bank,"Annual fee waiver on spending Rs. 50,000 or more in a year.",NA,3.5% on all foreign transactions,3.5% per month (or 42% annually),1% at all fuel stations in India,"Rs. 300 is charged for every Rs. 10,000 withdrawn",NA,NA,NA
Kotak Bank Fortune Gold Card,Shopping,NA,NA,NA,NA,NA,NA,NA,Get free movie tickets for any show and any given day at your nearest PVR cinemas,NA,NA,NA,NA,NA,NA,3.5% per foreign conversion,3.5% per month,1% fuel surcharge waiver on transactions between Rs. 500 and Rs. 3000,Rs 199,Rs 299 per add-on card,NA,NA
Metro Kotak Credit Card,Shopping,NA,NA,"Rs. 500 cashback on making a single transaction worth Rs. 10,000 or more within the first 30 days.","Up to 1% cashback on monthly spends above Rs. 10,000 with this card.",NA,NA,NA,NA,The cashback is directly credited to the cardholder’s accounts.,NA,NA,The cardholders are not liable for any fraudulent transactions made through a lost/stolen card if the loss is reported to the bank in a timely manner.,NA,NA,NA,3.5% per month,NA (fuel transactions are not applicable to this card),"Rs. 300 for every withdrawal of Rs. 10,000",NA,NA,NA
ICICI Bank Sapphiro Credit Card,"Travel , Shopping","Rs 6,500 (plus applicable taxes)","Rs 6,500 (plus applicable taxes)","Exclusive travel & shopping gift vouchers worth more than Rs. 9,000 (From Tata CliQ, EaseMyTrip, Uber, Zomato Pro, Croma) with the Visa & Mastercard variants and get an extra cashback of Rs. 750 on spending Rs 20,000 within 60 days of issuance with the AmEx variant.","On every Rs. 100 spent, get 4 Reward Points per Rs. 100 spent on international purchases & 2 Reward Points on domestic purchases.",Complimentary Domestic &  International Airport Lounge visits and complimentary Spa Sessions at select Domestic airports under the Dreamfolks Membership Programme.,"2 complimentary domestic lounge visits with the MasterCard & Amex variant each, and 4 complimentary domestic lounge access with the Visa variant.","Air accident insurance (worth Rs 3 crores), Credit Shield Cover worth Rs 50,000 and other travel-related Insurance Covers.",Get Rs. 500 off on the second movie or event ticket when you buy one ticket from Book My Show.,Redeem reward points earned for cash back or gifts at a rate of 1 RP = Re. 0.25.,Complimentary golf rounds/lessons every quarter,2 complimentary International Airport Lounge Access every year through the Dreamfolks membership.,"Lost card liability (worth Rs. 50,000) is applicable from 2 days prior to reporting and till 7 days after reporting the loss to the ICICI Bank.",Renewal fee waiver on spending Rs 6 Lakhs annualy.,Rs. 99 (plus applicable taxes) per redemption request,3.50% of the total transaction value.,3.4% per month (or 40.8% per annum),1% of Fuel Surcharge Waiver (Maximum Rs 250 per billing cycle) at all fuel stations in India.,2.5% of the total transaction amount (minimum Rs. 300),NA,"To redeem your Reward Points against cash, make a call on 080-40146444. Your points will be credited as cash credit into your account within 7 days from the redemption request.
For redemption against gifts, call on 1860-258-5000. The gift of your choice will be sent to you within 10 working days.",ICICI Sapphiro Credit Card Login/Net Banking
ICICI Bank Emeralde Credit Card,"Movies , Travel , Shopping","Rs. 1,000 (plus taxes) for monthly plan, Rs. 12,000 (plus applicable taxes) for annual plan","Rs. 1,000 (plus taxes) for monthly plan, Rs. 12,000 (plus applicable taxes) for annual plan",NA,"4 RPs on every Rs. 100 spent on all transactions (except fuel, utilities and insurance categories) and 1 RP on every purchase of Rs. 100 on insurance and utilities.","Complimentary international & domestic lounge visits, no charge (waived up to a max of Rs. 12,000) on cancellation of flight/hotel/movie ticket bookings up to max two cancellations every year",Complimentary unlimited domestic airport lounge access under the MasterCard/American Express/Visa lounge program,"Credit Shield insurance worth Rs. 50,000, an air accidental death cover worth Rs. 3 crore and many other insurance benefits under travel category (as illustrated later in the article)","A discount of up to Rs. 750 on BookMyShow second movie/event ticket onwards (max 4 tickets per month), no cancellation charge on movie ticket cancellation (max benefit of Rs. 12,000 per year), a minimum discount of 15% at partnered restaurants under the ICICI Culinary Treats program.","The earned Reward Points can be redeemed against gifts or cash credit, where 1 Reward Point = Rs. 0.25","Complimentary round/lesson of golf each month on a minimum spend of Rs. 50,000 in the previous month (max 4/month)",Complimentary unlimited international airport lounge access under the Dreamfolks program membership,"Get a liability protection cover worth Rs. 50,000 against a lost/stolen card applicable from 2 days before reporting the loss and till 7 days after it.","Monthly fee reversed on the expenditure of Rs. 1,00,000 in the previous month, annual fee reversed on an annual spend of Rs. 15,00,000 in the previous anniversary year.",Rs. 99 + GST on each redemption request,1.5% of the total transaction amount,3.40% per month (or 40.80% annualized),1% fuel surcharge waived on all fuel purchases at all fuel pumps across the country.,NA,NA,NA,NA
ICICI Bank Rubyx Credit Card,Travel,"Rs. 3,000 (plus applicable taxes)","Rs. 3,000 (plus applicable taxes)","Travel & shopping vouchers worth over Rs. 5,000","4 Reward Points on every international spend of Rs. 100, 2 Reward Points on domestic spends & 1 Reward Point on every Rs. 100 spent on utilities and insurance categories.","2 complimentary railway lounge access per quarter and 1 complimentary airport lounge access per quarter with each of the two variants (total 2 per quarter) on a minimum expenditure of Rs. 5,000 in the previous quarter","2 complimentary railway lounge access per quarter and 1 complimentary domestic airport lounge access per quarter with each of the two variants (total 2 domestic airport lounge access per quarter) on a minimum expenditure of Rs.5,000 in the previous quarter.","Complimentary insurance covers against air accidents, plane hijacking, lost baggage, delayed baggage, lost card, lost travel documents, credit shield, etc.","25% discount on movie ticket bookings (min 2 per transaction and max 2 tines in a month) on BookMyShow and INOX (max discount capped at Rs. 150), discount on dining bills with the Culinary Treats Program.",The reward points can be redeemed for gift vouchers or cashback at a rate of 1 Reward Point = Re. 0.25,"Up to 2 complimentary golf lessons/rounds each month (1 golf round/lesson for every Rs. 50,000 spent in the previous month)",NA,Cardmember shall not be liable for any fraudulent transactions done on the card once the loss of card is reported to the bank.,Renewal Fee is waived off on spending Rs. 3 lakhs or more in an anniversary year.,Rs. 99 (plus applicable taxes) per redemption request,3.5% of the transaction amount,3.40% per month (or 40.8% annually),"1% fuel surcharge is waived off for all fuel transactions up to Rs. 4,000 across all fuel stations in India.",2.5% of the amount withdrawn or Rs. 300 (whichever is higher),NA,"Identity Proof – Any of these documents: Aadhar Card, Voters Id, PAN Card, Driving License, Passport, etc.
Address Proof – Aadhar Card, Ration Card, Utility Bills, PAN Card, Passport, Driving License.
Proof of Income – Latest salary slips, Latest bank statement, Form 16.",ICICI Rubyx Credit Card Login/Internet Banking
ICICI Bank Coral Credit Card,"Movies , Dining",Rs 500 (plus applicable taxes),Rs 500 (plus applicable taxes),NA,"1 Reward Point per Rs. 100 you spend on utilities & insurance related spends, and 2 Reward Points per Rs. 100 spent elsewhere.",You get complimentary access to the airport and railway lounges every quarter.,1 complimentary domestic lounge visit in each quarter on a minimum spend of Rs 5000 in the previous calendar quarter.,NA,25% discount up to Rs. 100 on movie ticket booking on BookMyShow and INOX two times a month. Get up to 15% discount on dining.,"The Reward Points are redeemable against an array of categories, and cash back at a rate of 1 Reward Point = Re. 0.25.",NA,NA,The bank provides protection to its customer in case of loss or theft of credit card if reported within a stipulated time provided by the bank.,"You get a spend-based waiver in case the annual spend is more than 1,50,000 in the previous year.",Rs. 99 per redemption request,3.5% of the transaction amount,3.4% per month (40.80% per annum),"You get a fuel surcharge waiver of 1% across all HPCL petrol stations in India. This offer valid for transaction up to Rs 4,000/-",2.5% of the transaction amount or subject to a minimum fee of Rs.300,NA,NA,NA
Amazon Pay ICICI Bank Credit Card,Shopping,NA,NA,Welcome bonus of Amazon Pay Balance (Rs. 300 to Rs. 600),"5% cashback on Amazon purchases for Prime members and 3% cashback for Non-Prime members, 2% cashback on partner brands & 1% cashback on all other payments except fuel purchases",NA,NA,NA,A minimum of 15% discount on dining bills at restaurants participating in the Culinary Treats program,Reward Points earned transferred to Amazon Pay balance at the end of the payment cycle. 1 Reward Point = Re. 1,NA,NA,Cardholders won’t be liable for any unauthorized transaction made with the card post reporting the loss of card to the bank,NA,NA,3.5% of the transaction amount,"3.5% – 3.8% per month or 42% – 45.6% per annum (variable, based on the customer’s financial behavior)",1% fuel surcharge is waived at all petrol stations across India.,"2.5% of the withdrawn amount, subject to a minimum fees of Rs. 300.",NA,NA,Amazon Pay ICICI Credit Card Customer Care Number & E-mail ID
ICICI Bank HPCL Super Saver Credit Card,"Fuel , Shopping",Rs. 500 (plus applicable taxes),Rs. 500 (plus applicable taxes),"2,000 bonus Reward Points on paying the membership fee within 2 months and spending at least Rs. 5,000 within the first 45 days of card issuance; Rs. 100 cashback on HP Pay app on the first fuel purchase of Rs. 1,000 or more.","4% cashback on fuel spends at HPCL pumps, 5% cashback as RPs on departmental store spends & utility purchases, 2 Reward points per Rs. 100 spent for all other domestic and international transactions.",Complimentary domestic airport lounge access under Visa Domestic Lounge Program,1 complimentary lounge access every quarter to domestic airports under Visa Domestic Lounge Program,NA,"25% discount (max Rs. 100 per transaction) on movie tickets booked on BookMyShow and Inox movies individually, dining benefits under the ICICI Bank Culinary Treats Program",The Rewards you earn can be redeemed against cashback or some other options at a conversion rate of 1 Reward Point = Rs. 0.25,NA,NA,"Cardholder not liable for any unauthorized spends made post the time of reporting the card’s loss. However, for transactions made prior to the time of reporting, the liability lies only with the cardholder.",Annual fee waiver (from second year of membership) on the expenditure of Rs. 1.5 lakh in the preceding year.,Rs. 99 (plus applicable taxes) on each redemption request,3.5% of the transaction amount subject to a minimum amount of Rs. 250,3.4% per month (or 40.8% per annum),1% fuel surcharge waived at all fuel stations across India,2.5% of the cash amount or a minimum fee of Rs. 300,Rs. 100,NA,NA
Emirates Skywards ICICI Bank Emeralde Credit Card,Travel,"Rs. 10,000 + applicable taxes","Rs. 10,000 + applicable taxes","10,000 Skyward Miles and Emirates Skywards Silver Tier membership.",2.5 Skyward Miles for every Rs. 100 spend on all transactions and 1 Skyward Mile on every Rs. 100 spent on insurance and utilities.,Complimentary airport lounge access and spa sessions with the Dreamfolks membership.,Complimentary unlimited access to domestic lounges per year.,NA,Buy 1 Get 1 Free offer on movies four times every month. Exclusive dining offers with ICICI Bank Culinary Treats Programme.,The earned Skywards Miles can be redeemed via Emirates Skywards website against travel-related spends.,NA,Unlimited access to international lounges.,The cardholder will not be held responsible for any fraudulent transaction that takes place through his card in the case of loss or theft of the card if the same is reported to the bank within 7 days from the date of loss.,NA,NA,3.50% on all international transactions.,3.40% per month,"On all fuel transactions up to ₹ 4,000, you will get a surcharge waiver of 1%.",Higher of Rs. 500 or 2.5% of the amount withdrawn.,Rs. 250,NA,NA
Emirates Skywards ICICI Bank Sapphiro Credit Card,Travel,"Rs. 5,000","Rs. 5,000","5,000 bonus Skyward Miles and complimentary Emirates Skywards Silver Tier membership.","2 Skyward Miles on every Rs. 100 spend, 1 Skyward Mile per Rs. 100 spent on insurance and utility.",Complimentary access to domestic and international lounges as well as spa sessions.,"2 complimentary access to domestic lounges per quarter if you spend Rs.  5,000 in the previous quarter.",NA,Buy 1 Get 1 Free movie tickets on BookMyShow,The Skyward Miles that you earn will be automatically credited to your Emirates Skywards account.,NA,2 complimentary access to international lounges annually.,Zero liability for the cardholder in case of any fraudulent transaction is performed with the card post the time of reporting the loss of card to the bank.,NA,NA,3.5% on all international transactions.,3.40% per month,1% fuel surcharge waiver on all fuel transactions,2.5% of the amount or Rs. 500 (whichever is higher),Rs. 250,NA,NA
Emirates Skywards ICICI Bank Rubyx Credit Card,Travel,"Rs. 1,000","Rs. 1,000",NA,1.5 Skyward Miles on every retail spend of Rs. 100 and 1 Skyward Mile on every spend of Rs. 100 on utility and insurance.,Complimentary domestic lounge access with the dreamfolks membership.,"1 complimentary domestic lounge access every quarter on spending Rs. 5,000 or more in the previous quarter.",NA,25% discount up to Rs. 100 on movie tickets via BookMyShow and exclusive discount offers on dining.,The earned Skyward Miles are automatically credited to the cardholder’s Emirates Skywards account.,NA,NA,You are not liable for any fraudulent transactions made on a lost/stolen card if the loss is reported to the bank in a timely manner.,NA,NA,3.5% on all foreign currency spends,3.4% per month,1% fuel surcharge waiver on all fuel transactions at all fuel stations in India.,2.5% of the withdrawn amount subject to a minimum of Rs. 500.,Rs. 250,NA,NA
Chennai Super Kings ICICI Bank Credit Card,Shopping,Rs.  500,Rs.  500,"2,000 bonus Reward Points.","2 Reward Points on every retail spend of Rs. 100, 10 Reward Points on every Rs. 100 during CSK match days and 1 Reward Point on all Insurance and utility spends.",Complimentary domestic airport lounge access.,"1 complimentary domestic lounge access every quarter on spending Rs. 5,000 in the previous quarter.",NA,NA,The earned Reward Points can be redeemed against CSK merchandise. 1 Reward Point = Re. 0.25.,NA,NA,You get a zero liability protection against a lost/stolen card if the card is reported lost to the bank in a timely manner.,The annual fee is waived off on spending Rs. 1.5 lakhs in the previous year.,NA,3.5% on all foreign currency spends.,3.4% per month,"1% fuel surcharge waiver on all fuel transactions worth up to Rs. 4,000 at all HPCL pumps.",2.5% of the withdrawn amount subject to a minimum of Rs. 500.,NA,NA,NA
ICICI Bank HPCL Coral American Express Credit Card,Fuel,Rs. 199 (plus applicable taxes),Rs. 199 (plus applicable taxes),NA,"2 Reward Points per Rs. 100 on all retail spends with the card, 3X (6) Reward Points on fuel transactions at HPCL filling stations, 2.5% cashback up to Rs.100 on fuel purchases at HPCL pumps.",NA,NA,NA,"25% discount (max Rs. 100) on purchasing a minimum of two tickets for movie in a single transaction (max 2 times in a month), exclusive dining benefits under the ICICI Bank Culinary Treats Program.",The Reward Points earned are redeemable against cash back or gifts (1 Reward Point = Re. 0.25).,NA,NA,NA,"The renewal fee can be waived if you spend Rs. 50,000 in the previous year.",Rs. 99 (plus applicable taxes) per redemption request,3.5% of the transaction amount,3.40% per month (or 40.8% per annum),1% fuel surcharge waived at all HPCL petrol pumps in India for fuel purchases below Rs. 4000.,2.50% or a minimum of Rs. 300,NA,NA,NA
ICICI Bank HPCL Coral Credit Card,Shopping,Rs. 199 (plus applicable taxes),Rs. 199 (plus applicable taxes),NA,2 Reward points per Rs. 100 spent,NA,NA,NA,Get a discount of 25% on movie tickets through BookMyShow & exclusive discount offers on dining through the Culinary Treats Programme.,The earned Reward Points can be redeemed against a variety of products and shopping vouchers on www.icicibank.com. 1 Reward Point = Rs. 0.25.,NA,NA,The card member will not be liable for any transactions made on the card once it is reported lost/stolen/damaged.,"Spend Rs. 50,000 or more in a year and get your renewal fee waived off",Rs. 99 (plus applicable taxes) per redemption request,3.5% of the transaction amount,3.4% per month (or 40.8% per annum),You get a 1% fuel surcharge waiver across all HPCL petrol pumps.,2.5% of the amount withdrawn subject to a minimum of Rs. 300,NA,NA,NA
ICICI Bank HPCL Platinum Credit Card,Fuel,Rs. 199 (plus applicable taxes),Rs. 199 (plus applicable taxes),NA,2 Reward Points per Rs. 100 you spend with the card,"2 complimentary airport lounge visits outside India and 2 spa sessions at selected airports in India every year, through complimentary Dreamfolks membership",NA,NA,"Rs. 100 off on bookings movie tickets via BookMyShow (can be availed max twice in a month), minimum 15% savings on dining through ICICI Bank Culinary Treats Programme.",1 Reward Point = Rs. 0.25 for redemption against the card’s statement balance or gifts.,NA,2 complimentary airport lounge visits outside India,Cardholder shall not be held liable for any unauthorized transaction done on the card after reporting the loss of the card to the bank.,"The renewal fee can be waived on spending Rs. 50,000 or more in the preceeding year.",Rs. 99 on every redemption request.,3.50% on all foreign currency spends,3.40% per month (or 40.8% annually),"1% fuel surcharge waiver at all HPCL pumps for transactions up to Rs. 4,000.",2.5% of the transaction amount or Rs. 300 (whichever is higher).,NA,NA,NA
